ingredient_key,alias
soy_sauce,간장
soy_sauce,진간장
soy_sauce,양조간장
soy_sauce,조선간장
soy_sauce,국간장
soy_sauce,맛간장
soy_sauce,왜간장
doenjang,된장
doenjang,재래된장
doenjang,시골된장
gochujang,고추장
gochujang,찹쌀고추장
gochujang,태양초고추장
ssamjang,쌈장
chunjang,춘장
anchovy_sauce,멸치액젓
anchovy_sauce,액젓
anchovy_sauce,까나리액젓
anchovy_sauce,멸치젓
anchovy_sauce,생선액젓
saeujeot,새우젓
saeujeot,새우젓갈
oyster_sauce,굴소스
sesame_oil,참기름
perilla_oil,들기름
vinegar,식초
vinegar,양조식초
vinegar,현미식초
cooking_wine,맛술
cooking_wine,미림
cooking_wine,청주
mayonnaise,마요네즈
ketchup,케첩
ketchup,토마토케첩
mustard_sauce,겨자소스
mustard_sauce,연겨자
gochugaru,고춧가루
gochugaru,고추가루
sugar,설탕
sugar,백설탕
salt,소금
salt,천일염
anchovy_broth,멸치육수
anchovy_broth,멸치다시마육수
anchovy_broth,다시육수
anchovy_broth,멸치다시육수
kelp_broth,다시마육수
kelp_broth,다시마
beef_bone_broth,사골육수
beef_bone_broth,사골국물
beef_bone_broth,사골
chicken_broth,닭육수
chicken_broth,치킨스톡
pork_broth,돼지육수
clam_broth,조개육수
clam_broth,바지락육수
dried_pollock_broth,황태육수
dried_pollock_broth,북어육수
tofu,두부
tofu,부침두부
tofu,찌개두부
sundubu,순두부
sundubu,연두부
soybean_sprout,콩나물
shrimp,새우
shrimp,칵테일새우
shrimp,대하
crab,게
crab,꽃게
squid,오징어
squid,한치
clam,조개
clam,바지락
clam,모시조개
mussel,홍합
oyster,굴
abalone,전복
octopus,문어
webfoot_octopus,쭈꾸미
webfoot_octopus,주꾸미
mackerel,고등어
anchovy,멸치
anchovy,국물용멸치
pollock,명태
pollock,황태
pollock,북어
pollock,동태
fish_cake,어묵
fish_cake,오뎅
fish_cake,사각어묵
egg,계란
egg,달걀
egg,계란물
egg,달걀물
milk,우유
milk,생우유
cheese,치즈
cheese,모짜렐라치즈
cheese,체다치즈
butter,버터
wheat_flour,밀가루
wheat_flour,부침가루
wheat_flour,튀김가루
wheat_noodles,밀국수
wheat_noodles,국수
wheat_noodles,소면
wheat_noodles,칼국수면
wheat_noodles,중화면
buckwheat_noodles,메밀면
buckwheat_noodles,메밀국수
buckwheat_noodles,냉면사리
glass_noodles,당면
ramyeon_noodles,라면사리
ramyeon_noodles,라면
rice,쌀밥
rice,밥
rice,공기밥
rice_cake,떡
rice_cake,가래떡
rice_cake,떡볶이떡
rice_cake,조랭이떡
dumpling,만두
dumpling,만두피
pork,돼지고기
pork,삼겹살
pork,목살
pork,앞다리살
pork,대패삼겹살
pork,항정살
pork,돼지앞다리
beef,소고기
beef,쇠고기
beef,차돌박이
beef,등심
beef,안심
beef,양지
chicken,닭고기
chicken,닭
chicken,닭다리살
chicken,닭가슴살
kimchi,김치
kimchi,배추김치
kimchi,신김치
kimchi,묵은지
white_kimchi,백김치
seaweed_gim,김
seaweed_gim,조미김
pine_nut,잣
walnut,호두
peanut,땅콩
almond,아몬드
sesame_seed,깨
sesame_seed,참깨
sesame_seed,통깨
sesame_seed,깨소금
peach,복숭아
tomato,토마토
potato,감자
sweet_potato,고구마
zucchini,애호박
zucchini,호박
onion,양파
green_onion,대파
green_onion,파
green_onion,쪽파
green_onion,실파
garlic,마늘
garlic,다진마늘
garlic,통마늘
ginger,생강
ginger,다진생강
mushroom,버섯
mushroom,표고버섯
mushroom,느타리버섯
mushroom,팽이버섯
mushroom,새송이버섯
perilla_leaf,깻잎
lettuce,상추
spinach,시금치
carrot,당근
radish,무
radish,무우
cucumber,오이
cabbage,양배추
napa_cabbage,배추
mung_bean_sprout,숙주
mung_bean_sprout,숙주나물
corn,옥수수
rice,흰밥
rice,멥쌀
rice,쌀
brown_rice,현미
glutinous_rice,찹쌀
black_rice,흑미
millet,조
millet,차조
barley,보리
sorghum,수수
red_bean,팥
black_bean,검은콩
cooking_oil,식용유
cooking_oil,대두유
cooking_oil,카놀라유
black_pepper,후춧가루
black_pepper,통후추
black_pepper,후추
black_pepper,후추가루
corn_syrup,물엿
corn_syrup,조청
ginger,생강즙
green_chili,풋고추
green_chili,청양고추
green_chili,청고추
red_chili,홍고추
red_chili,붉은고추
bell_pepper,피망
bell_pepper,청피망
bell_pepper,홍피망
bell_pepper,파프리카
chive,부추
perilla_seed,들깨
perilla_seed,들깨가루
perilla_seed,통들깨
perilla_seed,들깻가루
perilla_seed,깐들깨가루
spinach,시금치나물
soy_sauce,청장
octopus,낙지
anchovy,잔멸치
anchovy,다시멸치
anchovy,국멸치
beef,소잡뼈
beef,우삼겹
pork,돼지고기부속
pork,통삼겹
seaweed_gim,김가루
pear,배
pear,배즙
starch,녹말
starch,녹말가루
starch,감자전분
starch,전분
kale,케일
kale,쌈케일
sprout_greens,새싹채소
sprout_greens,새싹
wood_ear_mushroom,목이버섯
ugeoji,우거지
crown_daisy,쑥갓
burdock,우엉
chwinamul,취나물
bracken,고사리
deodeok,더덕
gondre,곤드레
acorn_jelly,도토리묵
jujube,대추
ginseng,수삼
ginkgo_nut,은행
plum_syrup,매실청
pickled_radish,단무지
river_snail,우렁이
river_snail,우렁살
river_snail,우렁
sundae,순대
flatfish,광어
salmon,연어
mustard_leaf,청겨자
pumpkin_leaf,호박잎
iceberg_lettuce,양상추
