key,name_ko,name_en,kind,notes
soy_sauce,간장,Soy sauce,jang,양조간장은 밀을 포함하는 경우가 많음
doenjang,된장,Soybean paste,jang,
gochujang,고추장,Red chili paste,jang,
ssamjang,쌈장,Ssamjang dipping paste,jang,제품에 따라 견과·땅콩 첨가
chunjang,춘장,Black bean paste,jang,
anchovy_sauce,멸치액젓,Anchovy fish sauce,sauce,
saeujeot,새우젓,Salted shrimp,sauce,
oyster_sauce,굴소스,Oyster sauce,sauce,
sesame_oil,참기름,Sesame oil,sauce,참깨는 현재 알레르겐 16종에 없음
perilla_oil,들기름,Perilla oil,sauce,
vinegar,식초,Vinegar,sauce,
cooking_wine,맛술,Cooking wine,sauce,
mayonnaise,마요네즈,Mayonnaise,sauce,
ketchup,케첩,Ketchup,sauce,
mustard_sauce,겨자소스,Mustard sauce,sauce,
gochugaru,고춧가루,Chili powder,sauce,
sugar,설탕,Sugar,sauce,
salt,소금,Salt,sauce,
anchovy_broth,멸치육수,Anchovy broth,broth,한식 국물 요리의 기본 육수
kelp_broth,다시마육수,Kelp broth,broth,
beef_bone_broth,사골육수,Beef bone broth,broth,
chicken_broth,닭육수,Chicken broth,broth,
pork_broth,돼지육수,Pork broth,broth,
clam_broth,조개육수,Clam broth,broth,
dried_pollock_broth,황태육수,Dried pollock broth,broth,
tofu,두부,Tofu,ingredient,
sundubu,순두부,Soft tofu,ingredient,
soybean_sprout,콩나물,Soybean sprouts,ingredient,
shrimp,새우,Shrimp,ingredient,
crab,게,Crab,ingredient,
squid,오징어,Squid,ingredient,
clam,조개,Clam,ingredient,
mussel,홍합,Mussel,ingredient,
oyster,굴,Oyster,ingredient,
abalone,전복,Abalone,ingredient,
octopus,문어,Octopus,ingredient,
webfoot_octopus,쭈꾸미,Webfoot octopus,ingredient,
mackerel,고등어,Mackerel,ingredient,
anchovy,멸치,Anchovy,ingredient,
pollock,명태,Pollock,ingredient,
fish_cake,어묵,Fish cake,ingredient,
egg,계란,Egg,ingredient,
milk,우유,Milk,ingredient,
cheese,치즈,Cheese,ingredient,
butter,버터,Butter,ingredient,
wheat_flour,밀가루,Wheat flour,ingredient,
wheat_noodles,밀국수,Wheat noodles,ingredient,
buckwheat_noodles,메밀면,Buckwheat noodles,ingredient,순메밀이 아니면 밀이 섞임
glass_noodles,당면,Glass noodles,ingredient,고구마 전분 기반
ramyeon_noodles,라면사리,Instant ramyeon noodles,ingredient,
rice,쌀밥,Rice,ingredient,
rice_cake,떡,Rice cake,ingredient,밀떡은 별도 확인 필요
dumpling,만두,Dumpling,ingredient,
pork,돼지고기,Pork,ingredient,
beef,소고기,Beef,ingredient,
chicken,닭고기,Chicken,ingredient,
kimchi,김치,Kimchi,ingredient,새우젓·액젓이 들어가는 숨은 알레르겐 원인
white_kimchi,백김치,White kimchi,ingredient,
seaweed_gim,김,Dried laver,ingredient,참기름을 바르는 경우가 많음
pine_nut,잣,Pine nut,ingredient,
walnut,호두,Walnut,ingredient,
peanut,땅콩,Peanut,ingredient,
almond,아몬드,Almond,ingredient,
sesame_seed,깨,Sesame seed,garnish,참깨는 현재 알레르겐 16종에 없음
peach,복숭아,Peach,ingredient,
tomato,토마토,Tomato,ingredient,
potato,감자,Potato,ingredient,
sweet_potato,고구마,Sweet potato,ingredient,
zucchini,애호박,Zucchini,ingredient,
onion,양파,Onion,ingredient,
green_onion,대파,Green onion,ingredient,
garlic,마늘,Garlic,ingredient,
ginger,생강,Ginger,ingredient,
mushroom,버섯,Mushroom,ingredient,
perilla_leaf,깻잎,Perilla leaf,ingredient,
lettuce,상추,Lettuce,ingredient,
spinach,시금치,Spinach,ingredient,
carrot,당근,Carrot,ingredient,
radish,무,Radish,ingredient,
cucumber,오이,Cucumber,ingredient,
cabbage,양배추,Cabbage,ingredient,
napa_cabbage,배추,Napa cabbage,ingredient,
mung_bean_sprout,숙주,Mung bean sprouts,ingredient,
corn,옥수수,Corn,ingredient,
cooking_oil,식용유,Cooking oil,sauce,대두유·카놀라유 혼합유가 많음
black_pepper,후춧가루,Black pepper,sauce,
corn_syrup,물엿,Corn syrup,sauce,밀물엿 제품은 밀 함유
green_chili,풋고추,Green chili pepper,ingredient,
red_chili,홍고추,Red chili pepper,ingredient,
bell_pepper,피망,Bell pepper,ingredient,
chive,부추,Chive,ingredient,
red_bean,팥,Red bean,ingredient,
barley,보리,Barley,ingredient,밀은 아니지만 글루텐 함유
millet,조,Millet,ingredient,
sorghum,수수,Sorghum,ingredient,
black_rice,흑미,Black rice,ingredient,
brown_rice,현미,Brown rice,ingredient,
glutinous_rice,찹쌀,Glutinous rice,ingredient,
black_bean,검은콩,Black soybean,ingredient,
starch,녹말,Starch,ingredient,감자·고구마·옥수수 전분
burdock,우엉,Burdock root,ingredient,
chwinamul,취나물,Aster scaber,ingredient,
bracken,고사리,Bracken fern,ingredient,
deodeok,더덕,Deodeok root,ingredient,
gondre,곤드레,Gondre,ingredient,
crown_daisy,쑥갓,Crown daisy,ingredient,
kale,케일,Kale,ingredient,
mustard_leaf,청겨자,Mustard leaf,ingredient,
pumpkin_leaf,호박잎,Pumpkin leaf,ingredient,
sprout_greens,새싹채소,Sprout greens,ingredient,
iceberg_lettuce,양상추,Iceberg lettuce,ingredient,
radish_sprout,무순,Radish sprout,ingredient,
ugeoji,우거지,Outer napa cabbage leaves,ingredient,
wood_ear_mushroom,목이버섯,Wood ear mushroom,ingredient,
acorn_jelly,도토리묵,Acorn jelly,ingredient,
pear,배,Pear,ingredient,
chestnut,밤,Chestnut,ingredient,견과 알레르기 교차반응 가능
jujube,대추,Jujube,ingredient,
ginseng,수삼,Fresh ginseng,ingredient,
ginkgo_nut,은행,Ginkgo nut,ingredient,견과 알레르기 교차반응 가능
plum_syrup,매실청,Plum syrup,sauce,
pickled_radish,단무지,Pickled radish,ingredient,표백 공정에 아황산류 사용 가능
perilla_seed,들깨,Perilla seed,garnish,
