restaurant_key,key,name,name_ko,price_krw,pattern_key,info_level,description,source_status,source_url,collected_at,collected_by,notes
dongkyo_gimbap,kimchi_gimbap,Kimchi Gimbap,김치김밥,,gimbap,pattern,,unverified,,2026-08-17,hanjoon,
dongkyo_gimbap,gochu_gimbap,Green Chili Gimbap,고추김밥,,gimbap,pattern,,unverified,,2026-08-17,hanjoon,
nokwon_ssambap,nokwon_ssambap,Nokwon Ssambap,녹원쌈밥,,ssambap,pattern,,unverified,,2026-08-17,hanjoon,
nokwon_ssambap,bossam_jeongsik,Bossam Set Meal,보쌈정식,,bossam,pattern,,unverified,,2026-08-17,hanjoon,
gamnamujip_gisa_sikdang,dwaeji_bulgogi,Pork Bulgogi,돼지불고기,,dwaejibulgogi,pattern,,unverified,,2026-08-17,hanjoon,
gamnamujip_gisa_sikdang,godeungeo_kimchi_jorim,Braised Mackerel with Kimchi,고등어김치조림,,godeungeogimchijorim,pattern,,unverified,,2026-08-17,hanjoon,
jangin_dakgalbi,dakgalbi,Dakgalbi,닭갈비,,dakgalbi,pattern,,unverified,,2026-08-17,hanjoon,
jangin_dakgalbi,cheese_dakgalbi,Cheese Dakgalbi,치즈닭갈비,,dakgalbi,pattern,,unverified,,2026-08-17,hanjoon,
jangin_dakgalbi,kimchi_roe_bokkeumbap,Kimchi Flying Fish Roe Fried Rice,김치 날치알 볶음밥,,bokkeumbap,pattern,,unverified,,2026-08-17,hanjoon,
yukjeon_gukbap_hongdae,sogogi_gukbap,Beef and Rice Soup,소고기국밥,,sogogi_gukbap,pattern,,official_menu,,2026-08-17,hanjoon,
yukjeon_gukbap_hongdae,yukjeon_sogogi_gukbap,Beef Jeon on Beef and Rice Soup,육전 소고기국밥,,sogogi_gukbap,pattern,,official_menu,,2026-08-17,hanjoon,
yukjeon_gukbap_hongdae,sogogi_gukbap_jeongsik,Beef and Rice Soup Set Menu,소고기국밥 정식,,sogogi_gukbap,pattern,,official_menu,,2026-08-17,hanjoon,
