pattern_key,ingredient_key,presence,role
sundubu_jjigae,sundubu,always,main
sundubu_jjigae,anchovy_broth,usually,broth
sundubu_jjigae,gochugaru,always,sauce
sundubu_jjigae,garlic,always,sauce
sundubu_jjigae,green_onion,usually,garnish
sundubu_jjigae,egg,usually,main
sundubu_jjigae,soy_sauce,usually,sauce
kimchi_jjigae,kimchi,always,main
kimchi_jjigae,pork,usually,main
kimchi_jjigae,tofu,usually,main
kimchi_jjigae,anchovy_broth,usually,broth
kimchi_jjigae,gochugaru,usually,sauce
kimchi_jjigae,green_onion,usually,garnish
kalguksu,wheat_noodles,always,main
kalguksu,anchovy_broth,always,broth
kalguksu,zucchini,usually,main
kalguksu,potato,sometimes,main
kalguksu,green_onion,usually,garnish
kalguksu,soy_sauce,usually,sauce
bibimbap,rice,always,main
bibimbap,gochujang,always,sauce
bibimbap,spinach,usually,main
bibimbap,carrot,usually,main
bibimbap,zucchini,usually,main
bibimbap,mung_bean_sprout,usually,main
bibimbap,egg,usually,main
bibimbap,sesame_oil,always,sauce
bibimbap,beef,sometimes,main
