match_ko,key,name_en
순두부찌개,sundubu_jjigae,Soft Tofu Stew
김치찌개,kimchi_jjigae,Kimchi Stew
된장찌개,doenjang_jjigae,Soybean Paste Stew
부대찌개,budae_jjigae,Army Base Stew
된장국,doenjang_guk,Soybean Paste Soup
미역국,miyeok_guk,Seaweed Soup
해장국,haejang_guk,Hangover Soup
무국,mu_guk,Radish Soup
육개장,yukgaejang,Spicy Beef Soup
들깨탕,deulkkae_tang,Perilla Seed Soup
삼계탕,samgyetang,Ginseng Chicken Soup
갈비탕,galbitang,Short Rib Soup
매운탕,maeuntang,Spicy Fish Stew
전골,jeongol,Hot Pot
칼국수,kalguksu,Hand-cut Noodle Soup
수제비,sujebi,Hand-torn Noodle Soup
볶음밥,bokkeumbap,Fried Rice
불고기,bulgogi,Bulgogi
잡채,japchae,Japchae
수육,suyuk,Boiled Pork Slices
보쌈,bossam,Bossam
만두,mandu,Dumplings
떡볶이,tteokbokki,Tteokbokki
닭갈비,dakgalbi,Spicy Stir-fried Chicken
