name_ko,key,name_en
흰밥,white_rice,Steamed White Rice
오곡밥,five_grain_rice,Five-Grain Rice
잡곡밥,multigrain_rice,Multigrain Rice
보리밥,barley_rice,Barley Rice
곤드레나물밥,gondre_namul_bap,Gondre Herb Rice
김밥,gimbap,Gimbap (Seaweed Rice Roll)
오징어덮밥,squid_rice_bowl,Spicy Squid Rice Bowl
낙지덮밥,octopus_rice_bowl,Spicy Octopus Rice Bowl
김치볶음밥,kimchi_fried_rice,Kimchi Fried Rice
누룽지,nurungji,Scorched Rice
주먹밥,jumeokbap,Rice Balls
비빔밥,bibimbap,Bibimbap
산채비빔밥,sanchae_bibimbap,Wild Vegetable Bibimbap
새싹비빔밥,sprout_bibimbap,Sprout Bibimbap
돌솥비빔밥,dolsot_bibimbap,Hot Stone Pot Bibimbap
영양돌솥밥,yeongyang_dolsotbap,Nutritious Hot Stone Pot Rice
불고기덮밥,bulgogi_rice_bowl,Bulgogi Rice Bowl
돼지국밥,dwaeji_gukbap,Pork and Rice Soup
소고기국밥,sogogi_gukbap,Beef and Rice Soup
순댓국밥,sundae_gukbap,Korean Blood Sausage Soup with Rice
콩나물국밥,kongnamul_gukbap,Bean Sprout Soup with Rice
콩나물밥,kongnamul_bap,Bean Sprout Rice
우거지사골국밥,ugeoji_sagol_gukbap,Napa Cabbage Beef Bone Soup with Rice
쌈밥,ssambap,Leaf Wraps with Rice
제육덮밥,jeyuk_rice_bowl,Spicy Pork Rice Bowl
제육비빔밥,jeyuk_bibimbap,Spicy Pork Bibimbap
우렁된장비빔밥,ureong_doenjang_bibimbap,River Snail Doenjang Bibimbap
육회비빔밥,yukhoe_bibimbap,Beef Tartare Bibimbap
회덮밥,hoedeopbap,Raw Fish Rice Bowl
잡채덮밥,japchae_rice_bowl,Japchae Rice Bowl
